 [QUOTE_DATE], [UNDERLYING_LAST]
 2013-10-01,1694.68
 2013-10-02,1693.41
 2013-10-03,1678.78
 2013-10-04,1690.54
 2013-10-07,1676.01
 2013-10-08,1655.03
 2013-10-09,1656.36
 2013-10-10,1691.99
 2013-10-11,1703.08
 2013-10-14,1710.14
 2013-10-15,1698.38
 2013-10-16,1721.17
 2013-10-17,1732.89
 2013-10-18,1744.21
 2013-10-21,1744.52
 2013-10-22,1754.57
 2013-10-23,1746.38
 2013-10-24,1751.97
 2013-10-25,1759.57
 2013-10-28,1762.2
 2013-10-29,1771.9
 2013-10-30,1763.41
 2013-10-31,1757.31
