 [QUOTE_DATE], [UNDERLYING_LAST]
 2021-03-01,3901.84
 2021-03-02,3870.14
 2021-03-03,3819.27
 2021-03-04,3769.66
 2021-03-05,3841.46
 2021-03-08,3820.31
 2021-03-09,3875.12
 2021-03-10,3898.66
 2021-03-11,3938.98
 2021-03-12,3943.64
 2021-03-15,3968.78
 2021-03-16,3962.65
 2021-03-17,3974.8
 2021-03-18,3915.14
 2021-03-19,3911.67
 2021-03-22,3940.73
 2021-03-23,3910.82
 2021-03-24,3889.09
 2021-03-25,3909.43
 2021-03-26,3975.26
 2021-03-29,3971.67
 2021-03-30,3959.7
 2021-03-31,3973.61
