 [QUOTE_DATE], [UNDERLYING_LAST]
 2017-03-01,2395.67
 2017-03-02,2381.47
 2017-03-03,2382.61
 2017-03-06,2375.42
 2017-03-07,2368.09
 2017-03-08,2363.11
 2017-03-09,2365.1
 2017-03-10,2373.1
 2017-03-13,2373.62
 2017-03-14,2365.32
 2017-03-15,2385.09
 2017-03-16,2381.12
 2017-03-17,2377.85
 2017-03-20,2373.5
 2017-03-21,2343.99
 2017-03-22,2348.52
 2017-03-23,2346.12
 2017-03-24,2344.47
 2017-03-27,2341.66
 2017-03-28,2358.67
 2017-03-29,2361.26
 2017-03-30,2368.04
 2017-03-31,2362.7
