 [QUOTE_DATE], [UNDERLYING_LAST]
 2016-08-01,2170.68
 2016-08-02,2157.09
 2016-08-03,2163.42
 2016-08-04,2164.37
 2016-08-05,2182.36
 2016-08-08,2180.75
 2016-08-09,2181.67
 2016-08-10,2175.52
 2016-08-11,2185.76
 2016-08-12,2183.78
 2016-08-15,2190.16
 2016-08-16,2178.26
 2016-08-17,2181.86
 2016-08-18,2186.82
 2016-08-19,2183.65
 2016-08-22,2182.7
 2016-08-23,2186.88
 2016-08-24,2175.75
 2016-08-25,2172.73
 2016-08-26,2169.36
 2016-08-29,2180.42
 2016-08-30,2176.14
 2016-08-31,2170.76
