 [QUOTE_DATE], [UNDERLYING_LAST]
 2019-10-01,2940.14
 2019-10-02,2888.02
 2019-10-03,2910.92
 2019-10-04,2951.59
 2019-10-07,2938.43
 2019-10-08,2892.82
 2019-10-09,2919.34
 2019-10-10,2938.81
 2019-10-11,2969.41
 2019-10-14,2966.13
 2019-10-15,2995.52
 2019-10-16,2990.21
 2019-10-17,2998.23
 2019-10-18,2985.98
 2019-10-21,3006.7
 2019-10-22,2996.17
 2019-10-23,3004.52
 2019-10-24,3010.13
 2019-10-25,3022.19
 2019-10-28,3039.3
 2019-10-29,3036.71
 2019-10-30,3046.92
 2019-10-31,3037.9
