 [QUOTE_DATE], [UNDERLYING_LAST]
 2022-08-01,4118.53
 2022-08-02,4091.79
 2022-08-03,4154.87
 2022-08-04,4151.94
 2022-08-05,4145.76
 2022-08-08,4140.0
 2022-08-09,4122.84
 2022-08-10,4209.93
 2022-08-11,4207.05
 2022-08-12,4279.31
 2022-08-15,4296.09
 2022-08-16,4305.35
 2022-08-17,4273.51
 2022-08-18,4284.22
 2022-08-19,4228.6
 2022-08-22,4139.21
 2022-08-23,4127.77
 2022-08-24,4140.17
 2022-08-25,4199.73
 2022-08-26,4058.29
 2022-08-29,4030.95
 2022-08-30,3986.3
 2022-08-31,3954.98
