 [QUOTE_DATE], [UNDERLYING_LAST]
 2017-08-01,2476.12
 2017-08-02,2477.17
 2017-08-03,2472.05
 2017-08-04,2476.23
 2017-08-07,2480.6
 2017-08-08,2474.86
 2017-08-09,2473.85
 2017-08-10,2438.39
 2017-08-11,2441.53
 2017-08-14,2465.25
 2017-08-15,2464.76
 2017-08-16,2468.24
 2017-08-17,2430.5
 2017-08-18,2425.58
 2017-08-21,2428.12
 2017-08-22,2452.49
 2017-08-23,2444.08
 2017-08-24,2438.98
 2017-08-25,2443.45
 2017-08-28,2444.06
 2017-08-29,2446.38
 2017-08-30,2457.31
 2017-08-31,2471.49
