 [QUOTE_DATE], [UNDERLYING_LAST]
 2018-08-01,2813.19
 2018-08-02,2827.41
 2018-08-03,2839.92
 2018-08-06,2850.29
 2018-08-07,2858.54
 2018-08-08,2857.58
 2018-08-09,2854.13
 2018-08-10,2833.28
 2018-08-13,2821.88
 2018-08-14,2839.92
 2018-08-15,2818.0
 2018-08-16,2840.64
 2018-08-17,2849.76
 2018-08-20,2856.98
 2018-08-21,2863.26
 2018-08-22,2862.28
 2018-08-23,2856.99
 2018-08-24,2874.67
 2018-08-27,2896.93
 2018-08-28,2897.6
 2018-08-29,2914.21
 2018-08-30,2901.2
 2018-08-31,2901.07
