 [QUOTE_DATE], [UNDERLYING_LAST]
 2022-03-01,4305.46
 2022-03-02,4385.62
 2022-03-03,4363.46
 2022-03-04,4329.36
 2022-03-07,4200.22
 2022-03-08,4171.57
 2022-03-09,4277.55
 2022-03-10,4259.19
 2022-03-11,4203.01
 2022-03-14,4172.27
 2022-03-15,4262.67
 2022-03-16,4358.13
 2022-03-17,4409.98
 2022-03-18,4463.56
 2022-03-21,4461.5
 2022-03-22,4512.2
 2022-03-23,4455.84
 2022-03-24,4520.55
 2022-03-25,4543.05
 2022-03-28,4575.45
 2022-03-29,4631.25
 2022-03-30,4602.66
 2022-03-31,4532.3
