 [QUOTE_DATE], [UNDERLYING_LAST]
 2014-10-01,1946.7
 2014-10-02,1946.0
 2014-10-03,1967.6
 2014-10-06,1964.93
 2014-10-07,1935.08
 2014-10-08,1968.49
 2014-10-09,1928.41
 2014-10-10,1906.55
 2014-10-13,1874.89
 2014-10-14,1877.88
 2014-10-15,1862.53
 2014-10-16,1861.75
 2014-10-17,1886.98
 2014-10-20,1903.91
 2014-10-21,1940.9
 2014-10-22,1927.2
 2014-10-23,1950.35
 2014-10-24,1964.53
 2014-10-27,1961.3
 2014-10-28,1984.44
 2014-10-29,1982.24
 2014-10-30,1994.4
 2014-10-31,2017.69
