 [QUOTE_DATE], [UNDERLYING_LAST]
 2023-08-01,4576.94
 2023-08-02,4513.65
 2023-08-03,4501.06
 2023-08-04,4478.55
 2023-08-07,4518.31
 2023-08-08,4499.08
 2023-08-09,4467.98
 2023-08-10,4469.23
 2023-08-11,4463.76
 2023-08-14,4489.99
 2023-08-15,4438.11
 2023-08-16,4404.07
 2023-08-17,4369.74
 2023-08-18,4370.44
 2023-08-21,4400.13
 2023-08-22,4387.69
 2023-08-23,4436.39
 2023-08-24,4375.7
 2023-08-25,4405.65
 2023-08-28,4433.62
 2023-08-29,4497.7
 2023-08-30,4515.48
 2023-08-31,4509.2
