 [QUOTE_DATE], [UNDERLYING_LAST]
 2012-08-01,1375.43
 2012-08-02,1364.93
 2012-08-03,1391.03
 2012-08-06,1394.32
 2012-08-07,1401.09
 2012-08-08,1402.17
 2012-08-09,1402.64
 2012-08-10,1405.56
 2012-08-13,1404.34
 2012-08-14,1403.97
 2012-08-15,1405.29
 2012-08-16,1415.52
 2012-08-17,1418.04
 2012-08-20,1417.96
 2012-08-21,1413.31
 2012-08-22,1413.54
 2012-08-23,1402.36
 2012-08-24,1411.09
 2012-08-27,1410.58
 2012-08-28,1409.29
 2012-08-29,1410.56
 2012-08-30,1399.8
 2012-08-31,1407.3
