 [QUOTE_DATE], [UNDERLYING_LAST]
 2010-03-01,1115.56
 2010-03-02,1117.98
 2010-03-03,1118.49
 2010-03-04,1122.68
 2010-03-05,1138.56
 2010-03-08,1138.31
 2010-03-09,1140.33
 2010-03-10,1145.36
 2010-03-11,1149.96
 2010-03-12,1149.94
 2010-03-15,1150.26
 2010-03-16,1159.4
 2010-03-17,1166.19
 2010-03-18,1165.43
 2010-03-19,1159.36
 2010-03-22,1165.9
 2010-03-23,1174.12
 2010-03-24,1167.83
 2010-03-25,1165.82
 2010-03-26,1166.67
 2010-03-29,1173.25
 2010-03-30,1173.28
 2010-03-31,1169.53
