 [QUOTE_DATE], [UNDERLYING_LAST]
 2023-03-01,3952.01
 2023-03-02,3980.73
 2023-03-03,4046.21
 2023-03-06,4048.46
 2023-03-07,3986.51
 2023-03-08,3992.41
 2023-03-09,3918.94
 2023-03-10,3861.68
 2023-03-13,3856.04
 2023-03-14,3921.44
 2023-03-15,3893.21
 2023-03-16,3960.6
 2023-03-17,3916.87
 2023-03-20,3951.77
 2023-03-21,4003.76
 2023-03-22,3936.17
 2023-03-23,3947.86
 2023-03-24,3971.35
 2023-03-27,3978.63
 2023-03-28,3971.48
 2023-03-29,4028.28
 2023-03-30,4050.95
 2023-03-31,4109.88
