 [QUOTE_DATE], [UNDERLYING_LAST]
 2018-10-01,2924.96
 2018-10-02,2923.23
 2018-10-03,2924.93
 2018-10-04,2900.91
 2018-10-05,2884.98
 2018-10-08,2884.77
 2018-10-09,2880.69
 2018-10-10,2786.61
 2018-10-11,2728.4
 2018-10-12,2766.48
 2018-10-15,2750.69
 2018-10-16,2810.34
 2018-10-17,2809.07
 2018-10-18,2768.45
 2018-10-19,2767.23
 2018-10-22,2755.66
 2018-10-23,2741.08
 2018-10-24,2654.89
 2018-10-25,2706.56
 2018-10-26,2658.12
 2018-10-29,2641.81
 2018-10-30,2683.07
 2018-10-31,2711.37
