, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2010-01-04,1132.99, 2010-01-07,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 205.990000, 208.990000,925.0, 0.000000, 0.060000, -0.000770, 0.000040, 0.004390, -0.021160,208.0,0.184
1, 2010-01-04,1132.99, 2010-01-07,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 181.000000, 184.000000,950.0, 0.000000, 0.100000, -0.002030, 0.000060, 0.009110, -0.040560,183.0,0.162
2, 2010-01-04,1132.99, 2010-01-07,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 156.000000, 159.000000,975.0, 0.050000, 0.100000, -0.003690, 0.000220, 0.013020, -0.058980,158.0,0.139
3, 2010-01-04,1132.99, 2010-01-07,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 131.100000, 134.100000,1000.0, 0.150000, 0.210000, -0.008940, 0.000380, 0.027860, -0.127580,133.0,0.117
4, 2010-01-04,1132.99, 2010-01-07,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 106.210000, 109.200000,1025.0, 0.200000, 0.250000, -0.012510, 0.000660, 0.038570, -0.156920,108.0,0.095
5, 2010-01-04,1132.99, 2010-01-07,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 81.400000, 84.400000,1050.0, 0.300000, 0.360000, -0.020670, 0.001180, 0.059160, -0.211590,83.0,0.073
6, 2010-01-04,1132.99, 2010-01-07,3.0, 0.967340, 0.002540, 0.077110, -0.109830, 57.190000, 59.000000,1075.0, 0.440000, 0.600000, -0.038780, 0.002490, 0.099410, -0.304770,58.0,0.051
7, 2010-01-04,1132.99, 2010-01-07,3.0, 0.899610, 0.007920, 0.204510, -0.421270, 32.900000, 34.700000,1100.0, 1.200000, 1.400000, -0.104080, 0.007010, 0.213950, -0.578330,33.0,0.029
8, 2010-01-04,1132.99, 2010-01-07,3.0, 0.637270, 0.018470, 0.442470, -0.888310, 11.710000, 13.000000,1125.0, 4.700000, 5.000000, -0.359440, 0.019050, 0.442980, -1.069890,8.0,0.007
9, 2010-01-04,1132.99, 2010-01-07,3.0, 0.162370, 0.013550, 0.292490, -0.518530, 1.500000, 1.600000,1150.0, 18.310000, 19.590000, -0.887590, 0.012850, 0.224650, -0.598460,17.0,0.015
10, 2010-01-04,1132.99, 2010-01-07,3.0, 0.022410, 0.002510, 0.063640, -0.109230, 0.100000, 0.250000,1175.0, 41.700000, 43.500000, -0.998600, 0.000000, 0.000000, -0.287260,42.0,0.037
11, 2010-01-04,1132.99, 2010-01-07,3.0, 0.011930, 0.001100, 0.038490, -0.086110, 0.100000, 0.140000,1200.0, 66.100000, 69.100000, -0.999430, 0.000000, 0.000000, -0.287510,67.0,0.059
