, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2010-11-01,1184.06, 2010-11-04,3.0,1.0,0.0,0.0,-0.00063,206.3,210.99,975.0,0.0,0.04,-0.0007,3e-05,0.00447,-0.02101,209.1,0.177
1, 2010-11-01,1184.06, 2010-11-04,3.0,1.0,0.0,0.0,0.0,181.7,185.7,1000.0,0.04,0.1,-0.00318,0.00013,0.01226,-0.05952,184.1,0.155
2, 2010-11-01,1184.06, 2010-11-04,3.0,1.0,0.0,0.0,0.0,156.7,160.7,1025.0,0.16,0.2,-0.00689,0.00031,0.02493,-0.12872,159.1,0.134
3, 2010-11-01,1184.06, 2010-11-04,3.0,1.0,0.0,0.0,0.0,131.9,135.91,1050.0,0.26,0.3,-0.01186,0.00046,0.03944,-0.19021,134.1,0.113
4, 2010-11-01,1184.06, 2010-11-04,3.0,1.0,0.0,0.0,-0.00068,107.0,110.99,1075.0,0.35,0.45,-0.01902,0.00083,0.05849,-0.25967,109.1,0.092
5, 2010-11-01,1184.06, 2010-11-04,3.0,0.98434,0.00095,0.05021,-0.16026,82.29,86.31,1100.0,0.55,0.75,-0.03339,0.00156,0.09291,-0.38103,84.1,0.071
6, 2010-11-01,1184.06, 2010-11-04,3.0,0.9719,0.00161,0.08002,-0.26735,72.5,76.5,1110.0,0.6,1.15,-0.04549,0.00212,0.11913,-0.47868,74.1,0.063
7, 2010-11-01,1184.06, 2010-11-04,3.0,0.97089,0.00177,0.08351,-0.26486,67.49,71.5,1115.0,0.6,1.35,-0.05182,0.00242,0.13193,-0.51748,69.1,0.058
8, 2010-11-01,1184.06, 2010-11-04,3.0,0.94789,0.00286,0.13192,-0.44577,57.9,61.91,1125.0,1.0,1.65,-0.07036,0.00326,0.16799,-0.64574,59.1,0.05
9, 2010-11-01,1184.06, 2010-11-04,3.0,0.84885,0.00687,0.28985,-0.98322,34.8,38.7,1150.0,3.0,4.0,-0.17301,0.00688,0.31757,-1.19377,34.1,0.029
10, 2010-11-01,1184.06, 2010-11-04,3.0,0.6284,0.01308,0.46849,-1.44916,14.9,18.21,1175.0,7.3,9.2,-0.37892,0.01235,0.47149,-1.56067,9.1,0.008
