, [QUOTE_DATE], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-12-01, 2011-12-02,1.0,0.92454,8e-05,0.10142,-0.45987,343.09,346.0,900.0,0.0,0.04,-0.00026,7e-05,0.00178,-0.02511,344.1,0.277
1, 2011-12-01, 2011-12-02,1.0,0.92754,5e-05,0.1008,-0.61022,318.1,321.29,925.0,0.0,0.05,-0.00062,-2e-05,0.00284,-0.025,319.1,0.256
2, 2011-12-01, 2011-12-02,1.0,0.93031,0.0001,0.09878,-0.50951,292.9,296.29,950.0,0.0,0.04,-0.00073,4e-05,0.00273,-0.02503,294.1,0.236
3, 2011-12-01, 2011-12-02,1.0,0.93306,0.00014,0.09788,-0.51043,267.91,271.31,975.0,0.0,0.06,-0.00138,2e-05,0.00252,-0.02498,269.1,0.216
4, 2011-12-01, 2011-12-02,1.0,0.93607,0.00012,0.09649,-0.51022,242.9,246.3,1000.0,0.0,0.04,-0.00145,8e-05,0.00347,-0.02536,244.1,0.196
5, 2011-12-01, 2011-12-02,1.0,0.93871,0.00015,0.09424,-0.50995,217.9,221.3,1025.0,0.0,0.04,-0.0011,3e-05,0.0035,-0.0247,219.1,0.176
6, 2011-12-01, 2011-12-02,1.0,0.93991,0.0003,0.09613,-0.75974,192.89,196.79,1050.0,0.0,0.05,-0.00089,3e-05,0.00343,-0.0248,194.1,0.156
7, 2011-12-01, 2011-12-02,1.0,0.94175,0.00023,0.09231,-0.51006,182.9,186.3,1060.0,0.0,0.05,-0.00139,0.0001,0.00371,-0.02473,184.1,0.148
8, 2011-12-01, 2011-12-02,1.0,0.94213,0.00028,0.09256,-0.51014,177.9,181.3,1065.0,0.0,0.05,-0.00166,0.0001,0.00406,-0.02514,179.1,0.144
9, 2011-12-01, 2011-12-02,1.0,0.94256,0.00027,0.09236,-0.51023,172.9,176.3,1070.0,0.0,0.05,-0.00148,5e-05,0.00378,-0.02502,174.1,0.14
10, 2011-12-01, 2011-12-02,1.0,0.94307,0.00032,0.09176,-0.5099,167.9,171.3,1075.0,0.0,0.06,-0.00137,5e-05,0.00466,-0.02476,169.1,0.136
11, 2011-12-01, 2011-12-02,1.0,0.94193,0.00047,0.09485,-0.76026,162.91,166.8,1080.0,0.0,0.06,-0.00166,4e-05,0.00401,-0.02503,164.1,0.132
12, 2011-12-01, 2011-12-02,1.0,0.94202,0.00046,0.09443,-0.76007,157.9,161.8,1085.0,0.0,0.05,-0.00105,8e-05,0.00425,-0.02525,159.1,0.128
13, 2011-12-01, 2011-12-02,1.0,0.94451,0.00038,0.09102,-0.51042,152.9,156.3,1090.0,0.0,0.05,-0.00189,9e-05,0.00489,-0.02494,154.1,0.124
14, 2011-12-01, 2011-12-02,1.0,0.94307,0.00058,0.09442,-0.75964,147.89,151.81,1095.0,0.0,0.05,-0.00194,0.00013,0.00481,-0.02497,149.1,0.12
15, 2011-12-01, 2011-12-02,1.0,0.94317,0.00057,0.09492,-0.76048,142.9,146.8,1100.0,0.0,0.05,-0.00211,0.0001,0.00495,-0.02455,144.1,0.116
16, 2011-12-01, 2011-12-02,1.0,0.9456,0.0005,0.08979,-0.51,137.89,141.3,1105.0,0.0,0.06,-0.0021,9e-05,0.00541,-0.02449,139.1,0.112
17, 2011-12-01, 2011-12-02,1.0,0.94661,0.00052,0.08977,-0.51028,132.91,136.3,1110.0,0.0,0.05,-0.00153,0.00012,0.00533,-0.02467,134.1,0.108
18, 2011-12-01, 2011-12-02,1.0,0.94657,0.0006,0.08952,-0.50969,127.91,131.3,1115.0,0.0,0.06,-0.00184,9e-05,0.00505,-0.02531,129.1,0.104
19, 2011-12-01, 2011-12-02,1.0,0.94651,0.00061,0.09001,-0.50991,122.91,126.3,1120.0,0.0,0.05,-0.00239,0.00015,0.00557,-0.02494,124.1,0.1
20, 2011-12-01, 2011-12-02,1.0,0.94772,0.00073,0.0901,-0.51037,117.9,121.3,1125.0,0.0,0.05,-0.00217,0.00014,0.00611,-0.02539,119.1,0.096
21, 2011-12-01, 2011-12-02,1.0,0.94947,0.00063,0.0858,-0.3597,112.9,116.01,1130.0,0.0,0.05,-0.00241,0.00012,0.00608,-0.02526,114.1,0.092
22, 2011-12-01, 2011-12-02,1.0,0.94786,0.00084,0.08946,-0.51039,107.89,111.3,1135.0,0.0,0.05,-0.00241,0.00017,0.00616,-0.02405,109.1,0.088
23, 2011-12-01, 2011-12-02,1.0,0.94486,0.00104,0.09438,-0.66007,103.2,106.31,1140.0,0.0,0.05,-0.00195,0.00021,0.00658,-0.02462,104.1,0.084
24, 2011-12-01, 2011-12-02,1.0,0.94243,0.00128,0.09997,-0.80955,98.2,101.61,1145.0,0.0,0.1,-0.00426,0.00027,0.0114,-0.04974,99.1,0.08
25, 2011-12-01, 2011-12-02,1.0,0.9421,0.00132,0.09996,-0.76042,93.19,96.5,1150.0,0.0,0.09,-0.00402,0.00031,0.01203,-0.04938,94.1,0.076
26, 2011-12-01, 2011-12-02,1.0,0.94629,0.00133,0.0927,-0.56048,88.19,91.1,1155.0,0.0,0.11,-0.00437,0.00041,0.01181,-0.04984,89.1,0.072
27, 2011-12-01, 2011-12-02,1.0,0.9462,0.00149,0.0936,-0.56007,83.2,86.1,1160.0,0.0,0.09,-0.00483,0.00038,0.01288,-0.04921,84.1,0.068
28, 2011-12-01, 2011-12-02,1.0,0.9441,0.00173,0.09744,-0.61039,78.2,81.2,1165.0,0.1,0.15,-0.01039,0.00081,0.02476,-0.12111,79.1,0.064
29, 2011-12-01, 2011-12-02,1.0,0.9421,0.002,0.10095,-0.66013,73.2,76.31,1170.0,0.06,0.14,-0.00916,0.00076,0.02271,-0.09712,74.1,0.06
30, 2011-12-01, 2011-12-02,1.0,0.94281,0.00213,0.10054,-0.61048,67.99,71.41,1175.0,0.1,0.14,-0.0111,0.00094,0.02745,-0.12075,69.1,0.056
31, 2011-12-01, 2011-12-02,1.0,0.94143,0.00247,0.10289,-0.61005,63.0,66.39,1180.0,0.11,0.16,-0.01188,0.00106,0.02924,-0.12093,64.1,0.052
32, 2011-12-01, 2011-12-02,1.0,0.93383,0.00296,0.1145,-0.76013,58.3,61.4,1185.0,0.1,0.19,-0.01553,0.00139,0.03529,-0.14471,59.1,0.048
33, 2011-12-01, 2011-12-02,1.0,0.93316,0.00336,0.116,-0.70979,53.1,56.51,1190.0,0.2,0.25,-0.02166,0.00193,0.04809,-0.21294,54.1,0.043
34, 2011-12-01, 2011-12-02,1.0,0.9231,0.00409,0.12992,-0.85982,48.4,51.5,1195.0,0.2,0.35,-0.02711,0.00242,0.05863,-0.25709,49.1,0.039
35, 2011-12-01, 2011-12-02,1.0,0.91395,0.00488,0.14175,-0.95243,43.5,46.6,1200.0,0.3,0.35,-0.03413,0.00307,0.06921,-0.29908,44.1,0.035
36, 2011-12-01, 2011-12-02,1.0,0.90997,0.00572,0.14693,-0.87562,38.4,41.61,1205.0,0.4,0.55,-0.04846,0.00418,0.09234,-0.4244,39.1,0.031
37, 2011-12-01, 2011-12-02,1.0,0.89528,0.00697,0.16539,-0.93831,33.8,36.5,1210.0,0.5,0.6,-0.0586,0.0054,0.10793,-0.48052,34.1,0.027
38, 2011-12-01, 2011-12-02,1.0,0.8719,0.00859,0.1908,-1.06288,28.9,31.9,1215.0,0.8,1.05,-0.09106,0.0075,0.15074,-0.75523,29.1,0.023
39, 2011-12-01, 2011-12-02,1.0,0.83711,0.01042,0.22618,-1.28506,24.49,27.21,1220.0,1.25,1.41,-0.12619,0.00989,0.19103,-1.00594,24.1,0.019
40, 2011-12-01, 2011-12-02,1.0,0.78446,0.01249,0.26829,-1.63007,20.5,22.8,1225.0,1.8,2.11,-0.17654,0.01285,0.23857,-1.33104,19.1,0.015
41, 2011-12-01, 2011-12-02,1.0,0.72091,0.01449,0.30837,-1.98137,16.39,19.1,1230.0,2.54,2.89,-0.23873,0.01608,0.2858,-1.63259,14.1,0.011
42, 2011-12-01, 2011-12-02,1.0,0.66307,0.01773,0.33549,-1.96655,12.5,14.1,1235.0,3.81,4.2,-0.32354,0.01911,0.33023,-1.98093,9.1,0.007
43, 2011-12-01, 2011-12-02,1.0,0.56898,0.01837,0.36158,-2.28898,10.2,10.7,1240.0,5.3,5.7,-0.41996,0.02197,0.36022,-2.14646,4.1,0.003
44, 2011-12-01, 2011-12-02,1.0,0.4735,0.01963,0.36578,-2.23154,7.2,7.6,1245.0,7.11,7.69,-0.53506,0.02409,0.36614,-2.0957,0.9,0.001
45, 2011-12-01, 2011-12-02,1.0,0.37103,0.01959,0.34789,-1.98859,4.7,5.09,1250.0,9.61,10.19,-0.66401,0.02403,0.33518,-1.79196,5.9,0.005
46, 2011-12-01, 2011-12-02,1.0,0.26929,0.01795,0.30435,-1.59202,2.86,3.2,1255.0,12.2,14.6,-0.78076,0.01999,0.27227,-1.408,10.9,0.009
47, 2011-12-01, 2011-12-02,1.0,0.17877,0.01475,0.24043,-1.10903,1.55,1.85,1260.0,15.19,18.3,-0.9528,0.01,0.09008,-0.49096,15.9,0.013
48, 2011-12-01, 2011-12-02,1.0,0.11216,0.01096,0.17608,-0.72117,0.74,1.15,1265.0,19.7,22.39,-1.0,0.0,-219.0999,0.0,20.9,0.017
49, 2011-12-01, 2011-12-02,1.0,0.0439,0.00513,0.08592,-0.28999,0.29,0.36,1275.0,28.9,32.3,-1.0,0.0,0.0,0.0,30.9,0.025
50, 2011-12-01, 2011-12-02,1.0,0.02553,0.00324,0.05465,-0.16337,0.11,0.26,1280.0,33.6,37.0,-1.0,0.0,0.0,0.0,35.9,0.029
51, 2011-12-01, 2011-12-02,1.0,0.0181,0.00225,0.04063,-0.11881,0.11,0.15,1285.0,39.0,41.89,-1.0,0.0,0.0,0.0,40.9,0.033
52, 2011-12-01, 2011-12-02,1.0,0.00381,0.00053,0.01128,-0.02465,0.0,0.05,1300.0,53.8,57.1,-1.0,0.0,0.0,0.0,55.9,0.045
53, 2011-12-01, 2011-12-02,1.0,0.00389,0.00044,0.01024,-0.02497,0.0,0.04,1305.0,58.7,62.1,-1.0,0.0,0.0,0.0,60.9,0.049
54, 2011-12-01, 2011-12-02,1.0,0.00384,0.00047,0.01023,-0.02542,0.0,0.05,1310.0,63.8,67.1,-1.0,0.0,0.0,0.0,65.9,0.053
55, 2011-12-01, 2011-12-02,1.0,0.00274,0.00032,0.00839,-0.02521,0.0,0.04,1325.0,78.69,82.1,-1.0,0.0,0.0,0.0,80.9,0.065
56, 2011-12-01, 2011-12-09,8.0,0.93267,0.0001,0.20302,-0.30952,292.71,296.09,950.0,0.0,0.04,-0.00034,3e-05,0.00508,-0.01316,294.1,0.236
57, 2011-12-01, 2011-12-09,8.0,0.9354,0.00011,0.19902,-0.31012,267.71,271.11,975.0,0.06,0.1,-0.00279,6e-05,0.01394,-0.03545,269.1,0.216
58, 2011-12-01, 2011-12-09,8.0,0.93947,0.00014,0.19024,-0.06058,242.69,245.6,1000.0,0.05,0.15,-0.00342,9e-05,0.01929,-0.04591,244.1,0.196
59, 2011-12-01, 2011-12-09,8.0,0.93971,0.00021,0.19682,-0.66056,217.8,221.7,1025.0,0.15,0.21,-0.00544,0.00016,0.03147,-0.07324,219.1,0.176
60, 2011-12-01, 2011-12-09,8.0,0.94616,0.00025,0.17995,-0.16049,192.8,195.7,1050.0,0.14,0.25,-0.00729,0.00017,0.03743,-0.08068,194.1,0.156
61, 2011-12-01, 2011-12-09,8.0,0.9492,0.00029,0.17397,-0.21048,167.69,170.9,1075.0,0.26,0.35,-0.01079,0.00034,0.05545,-0.11213,169.1,0.136
62, 2011-12-01, 2011-12-09,8.0,0.94301,0.00082,0.20442,-0.49207,143.09,147.0,1100.0,0.3,0.55,-0.01583,0.00057,0.07929,-0.14786,144.1,0.116
