, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2012-01-03,1276.25, 2012-01-06,3.0,1.0,0.0,0.0,0.0,274.91,277.6,1000.0,0.0,0.04,-0.00068,1e-05,0.0039,-0.02205,276.2,0.216
1, 2012-01-03,1276.25, 2012-01-06,3.0,1.0,0.0,0.0,0.0,249.9,252.6,1025.0,0.0,0.04,-0.0009,2e-05,0.00403,-0.0214,251.2,0.197
2, 2012-01-03,1276.25, 2012-01-06,3.0,0.93734,0.00012,0.13785,-0.2006,224.61,228.3,1050.0,0.0,0.06,-0.00117,4e-05,0.00471,-0.02187,226.2,0.177
3, 2012-01-03,1276.25, 2012-01-06,3.0,0.93979,8e-05,0.136,-0.20034,199.6,203.31,1075.0,0.0,0.05,-0.0013,8e-05,0.00493,-0.02147,201.2,0.158
4, 2012-01-03,1276.25, 2012-01-06,3.0,1.0,0.0,0.0,0.0,174.3,177.59,1100.0,0.0,0.05,-0.00168,0.00011,0.00636,-0.02051,176.2,0.138
5, 2012-01-03,1276.25, 2012-01-06,3.0,0.94547,0.00013,0.13004,-0.15013,149.5,153.3,1125.0,0.0,0.04,-0.00205,5e-05,0.00671,-0.0205,151.2,0.119
6, 2012-01-03,1276.25, 2012-01-06,3.0,0.94612,0.00011,0.12814,-0.05011,144.99,147.59,1130.0,0.0,0.1,-0.0026,0.00015,0.01202,-0.04007,146.2,0.115
7, 2012-01-03,1276.25, 2012-01-06,3.0,0.94683,0.00015,0.12702,-0.0496,140.01,142.6,1135.0,0.05,0.1,-0.00393,0.00026,0.01672,-0.05829,141.2,0.111
8, 2012-01-03,1276.25, 2012-01-06,3.0,0.94764,0.00012,0.1258,-0.04956,135.0,137.59,1140.0,0.05,0.11,-0.0044,0.00018,0.01675,-0.05837,136.2,0.107
9, 2012-01-03,1276.25, 2012-01-06,3.0,0.94762,0.00012,0.12519,-0.04951,130.01,132.6,1145.0,0.05,0.11,-0.00438,0.0002,0.01759,-0.05878,131.2,0.103
10, 2012-01-03,1276.25, 2012-01-06,3.0,0.94782,0.00014,0.12448,-0.04958,124.99,127.6,1150.0,0.04,0.1,-0.00476,0.0003,0.0179,-0.05844,126.2,0.099
11, 2012-01-03,1276.25, 2012-01-06,3.0,0.94881,0.00018,0.12382,-0.05034,120.0,122.6,1155.0,0.05,0.1,-0.00457,0.00031,0.01872,-0.05802,121.2,0.095
12, 2012-01-03,1276.25, 2012-01-06,3.0,0.94949,0.00014,0.12321,-0.04984,115.0,117.6,1160.0,0.05,0.1,-0.00533,0.0003,0.01886,-0.05725,116.2,0.091
13, 2012-01-03,1276.25, 2012-01-06,3.0,0.95019,0.00018,0.12234,-0.05037,110.0,112.6,1165.0,0.06,0.1,-0.00541,0.0003,0.01995,-0.05781,111.2,0.087
14, 2012-01-03,1276.25, 2012-01-06,3.0,0.95059,0.00025,0.1217,-0.05045,104.99,107.6,1170.0,0.05,0.1,-0.00572,0.00035,0.02023,-0.05726,106.2,0.083
15, 2012-01-03,1276.25, 2012-01-06,3.0,0.95148,0.00034,0.12063,-0.05003,100.0,102.6,1175.0,0.04,0.15,-0.00666,0.00044,0.02564,-0.07407,101.2,0.079
16, 2012-01-03,1276.25, 2012-01-06,3.0,0.95116,0.00041,0.12279,-0.14979,95.1,97.71,1180.0,0.1,0.15,-0.00863,0.00057,0.03127,-0.09049,96.2,0.075
17, 2012-01-03,1276.25, 2012-01-06,3.0,0.95103,0.00048,0.12194,-0.15021,90.1,92.7,1185.0,0.1,0.15,-0.00949,0.00059,0.03279,-0.08983,91.2,0.071
18, 2012-01-03,1276.25, 2012-01-06,3.0,0.95199,0.00053,0.12096,-0.15003,85.09,87.7,1190.0,0.09,0.2,-0.01106,0.00073,0.03884,-0.10595,86.2,0.068
19, 2012-01-03,1276.25, 2012-01-06,3.0,0.95267,0.00063,0.12022,-0.14985,80.1,82.71,1195.0,0.09,0.19,-0.0119,0.00087,0.04057,-0.10554,81.2,0.064
20, 2012-01-03,1276.25, 2012-01-06,3.0,0.95246,0.00082,0.12192,-0.19952,75.2,77.71,1200.0,0.14,0.2,-0.0134,0.00102,0.04746,-0.12039,76.2,0.06
21, 2012-01-03,1276.25, 2012-01-06,3.0,0.95253,0.00093,0.12138,-0.19987,70.2,72.71,1205.0,0.15,0.3,-0.01743,0.00121,0.05834,-0.14919,71.2,0.056
22, 2012-01-03,1276.25, 2012-01-06,3.0,0.94999,0.00138,0.12839,-0.2998,65.3,67.81,1210.0,0.25,0.3,-0.02183,0.00153,0.06934,-0.17614,66.2,0.052
23, 2012-01-03,1276.25, 2012-01-06,3.0,0.94962,0.00159,0.12944,-0.29957,60.3,62.8,1215.0,0.2,0.4,-0.02451,0.00183,0.07667,-0.18828,61.2,0.048
24, 2012-01-03,1276.25, 2012-01-06,3.0,0.94668,0.00213,0.1384,-0.39998,55.4,57.9,1220.0,0.25,0.45,-0.02979,0.00222,0.08903,-0.21266,56.2,0.044
25, 2012-01-03,1276.25, 2012-01-06,3.0,0.94084,0.00273,0.15156,-0.40476,50.5,53.0,1225.0,0.35,0.49,-0.03621,0.00268,0.10666,-0.24723,51.2,0.04
26, 2012-01-03,1276.25, 2012-01-06,3.0,0.93243,0.00359,0.17025,-0.43122,45.6,48.2,1230.0,0.5,0.65,-0.04826,0.00353,0.13407,-0.31358,46.2,0.036
27, 2012-01-03,1276.25, 2012-01-06,3.0,0.91737,0.00469,0.20103,-0.49493,40.8,43.5,1235.0,0.59,0.8,-0.05951,0.0044,0.1583,-0.3616,41.2,0.032
28, 2012-01-03,1276.25, 2012-01-06,3.0,0.89734,0.00601,0.23711,-0.57259,35.99,38.89,1240.0,0.84,1.04,-0.07997,0.00563,0.19742,-0.45182,36.2,0.028
