, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-06-01,1314.66, 2011-06-03,2.0,0.9387,9e-05,0.1195,-0.13992,237.59,242.0,1075.0,0.0,0.05,-0.00112,-1e-05,0.00377,-0.02406,239.7,0.182
1, 2011-06-01,1314.66, 2011-06-03,2.0,0.94155,0.00011,0.11627,-0.14039,212.6,216.99,1100.0,0.0,0.05,-0.00151,7e-05,0.00461,-0.02313,214.7,0.163
2, 2011-06-01,1314.66, 2011-06-03,2.0,0.94426,0.00011,0.11295,-0.14015,187.6,191.99,1125.0,0.0,0.05,-0.00098,7e-05,0.00473,-0.02351,189.7,0.144
3, 2011-06-01,1314.66, 2011-06-03,2.0,1.0,0.0,0.0,0.0,162.1,167.01,1150.0,0.0,0.1,-0.00261,0.00015,0.00921,-0.04581,164.7,0.125
4, 2011-06-01,1314.66, 2011-06-03,2.0,1.0,0.0,0.0,0.0,137.4,141.8,1175.0,0.05,0.1,-0.00373,0.00024,0.0152,-0.06708,139.7,0.106
5, 2011-06-01,1314.66, 2011-06-03,2.0,0.95419,0.00048,0.1014,-0.13961,112.5,117.1,1200.0,0.1,0.15,-0.00716,0.0004,0.02454,-0.1082,114.7,0.087
6, 2011-06-01,1314.66, 2011-06-03,2.0,1.0,0.0,0.0,0.0,87.81,91.49,1225.0,0.2,0.25,-0.01519,0.00088,0.04486,-0.18392,89.7,0.068
7, 2011-06-01,1314.66, 2011-06-03,2.0,1.0,0.0,0.0,0.0,72.7,76.61,1240.0,0.24,0.4,-0.02257,0.00136,0.06411,-0.25255,74.7,0.057
8, 2011-06-01,1314.66, 2011-06-03,2.0,1.0,0.0,0.0,0.0,67.6,71.6,1245.0,0.4,0.45,-0.0288,0.00172,0.07922,-0.31892,69.7,0.053
9, 2011-06-01,1314.66, 2011-06-03,2.0,1.0,0.0,0.0,0.0,62.6,66.7,1250.0,0.36,0.49,-0.03085,0.002,0.08267,-0.31719,64.7,0.049
