, [QUOTE_DATE], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 254.690000, 256.400000,1050.0, 0.000000, 0.050000, -0.000960, 0.000000, 0.004900, -0.021680,256.4,0.196
1, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 229.500000, 231.400000,1075.0, 0.000000, 0.050000, -0.000590, 0.000020, 0.004850, -0.021870,231.4,0.177
2, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 204.690000, 206.510000,1100.0, 0.050000, 0.090000, -0.002650, 0.000080, 0.012140, -0.060620,206.4,0.158
3, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 179.500000, 181.500000,1125.0, 0.050000, 0.090000, -0.003720, 0.000120, 0.014020, -0.060430,181.4,0.139
4, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 155.000000, 156.500000,1150.0, 0.160000, 0.190000, -0.008140, 0.000370, 0.029210, -0.131910,156.4,0.12
5, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 129.500000, 131.590000,1175.0, 0.200000, 0.250000, -0.011140, 0.000470, 0.039190, -0.163150,131.4,0.101
6, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 104.710000, 106.800000,1200.0, 0.300000, 0.340000, -0.017530, 0.000800, 0.059050, -0.223600,106.4,0.081
7, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 84.900000, 87.000000,1220.0, 0.340000, 0.500000, -0.025870, 0.001360, 0.081000, -0.278970,86.4,0.066
8, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 79.900000, 82.100000,1225.0, 0.550000, 0.600000, -0.033720, 0.001710, 0.101170, -0.359590,81.4,0.062
9, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 75.000000, 77.200000,1230.0, 0.500000, 0.690000, -0.035700, 0.001900, 0.108650, -0.370910,76.4,0.058
10, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 70.100000, 72.300000,1235.0, 0.550000, 0.760000, -0.039900, 0.002200, 0.118070, -0.395070,71.4,0.055
11, 2011-03-01, 2011-03-04,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 65.200000, 67.400000,1240.0, 0.640000, 0.800000, -0.045960, 0.002530, 0.132030, -0.429400,66.4,0.051
12, 2011-03-01, 2011-03-04,3.0, 0.969460, 0.005650, 0.080450, -0.050300, 60.290000, 62.600000,1245.0, 0.750000, 1.050000, -0.056980, 0.003100, 0.156040, -0.510270,61.4,0.047
13, 2011-03-01, 2011-03-04,3.0, 0.946430, 0.006270, 0.128600, -0.197580, 55.600000, 57.600000,1250.0, 1.000000, 1.150000, -0.067710, 0.003660, 0.179090, -0.584670,56.4,0.043
14, 2011-03-01, 2011-03-04,3.0, 0.928190, 0.006970, 0.164800, -0.288540, 50.700000, 52.800000,1255.0, 1.110000, 1.360000, -0.079060, 0.004350, 0.201040, -0.642200,51.4,0.039
15, 2011-03-01, 2011-03-04,3.0, 0.907280, 0.007700, 0.202680, -0.381630, 45.900000, 48.000000,1260.0, 1.350000, 1.550000, -0.094370, 0.005260, 0.229990, -0.725420,46.4,0.036
16, 2011-03-01, 2011-03-04,3.0, 0.880370, 0.008540, 0.246160, -0.492210, 41.200000, 43.300000,1265.0, 1.600000, 1.840000, -0.113870, 0.006260, 0.262770, -0.817700,41.4,0.032
17, 2011-03-01, 2011-03-04,3.0, 0.842980, 0.009170, 0.302320, -0.651890, 36.900000, 38.700000,1270.0, 1.950000, 2.200000, -0.138000, 0.007450, 0.300060, -0.924000,36.4,0.028
18, 2011-03-01, 2011-03-04,3.0, 0.808210, 0.010160, 0.345720, -0.753000, 32.400000, 34.210000,1275.0, 2.410000, 2.660000, -0.167350, 0.008930, 0.342990, -1.044840,31.4,0.024
19, 2011-03-01, 2011-03-04,3.0, 0.778710, 0.011460, 0.378110, -0.788020, 27.900000, 29.410000,1280.0, 3.010000, 3.310000, -0.206700, 0.010710, 0.389990, -1.189540,26.4,0.02
20, 2011-03-01, 2011-03-04,3.0, 0.730650, 0.012400, 0.423690, -0.886350, 23.700000, 25.200000,1285.0, 3.810000, 4.000000, -0.255000, 0.012710, 0.438410, -1.331700,21.4,0.016
21, 2011-03-01, 2011-03-04,3.0, 0.676860, 0.013340, 0.465100, -0.968690, 19.710000, 21.190000,1290.0, 4.600000, 5.010000, -0.312270, 0.014950, 0.482780, -1.461330,16.4,0.013
22, 2011-03-01, 2011-03-04,3.0, 0.614330, 0.013940, 0.500580, -1.050140, 16.190000, 17.500000,1295.0, 5.900000, 6.290000, -0.385880, 0.017080, 0.521850, -1.602860,11.4,0.009
23, 2011-03-01, 2011-03-04,3.0, 0.547560, 0.014530, 0.522800, -1.084590, 12.890000, 14.000000,1300.0, 7.600000, 7.900000, -0.473400, 0.018980, 0.542350, -1.711250,6.4,0.005
24, 2011-03-01, 2011-03-04,3.0, 0.474730, 0.015190, 0.527700, -1.048400, 9.800000, 10.500000,1305.0, 9.410000, 9.800000, -0.576310, 0.020600, 0.532840, -1.736760,1.4,0.001
25, 2011-03-01, 2011-03-04,3.0, 0.397160, 0.014890, 0.514460, -1.005440, 7.300000, 7.800000,1310.0, 11.700000, 12.400000, -0.695450, 0.020660, 0.474910, -1.699030,3.6,0.003
26, 2011-03-01, 2011-03-04,3.0, 0.318980, 0.014040, 0.478980, -0.911260, 5.100000, 5.600000,1315.0, 14.500000, 15.400000, -0.841420, 0.017550, 0.325790, -1.538170,8.6,0.007
27, 2011-03-01, 2011-03-04,3.0, 0.246100, 0.012580, 0.425910, -0.794210, 3.510000, 3.900000,1320.0, 17.710000, 19.100000, -0.996280, 0.000000, 0.000000, -1.311070,13.6,0.01
28, 2011-03-01, 2011-03-04,3.0, 0.182940, 0.010740, 0.358830, -0.656450, 2.300000, 2.660000,1325.0, 21.300000, 22.790000, -1.000000, 0.000000, -196.000080, 0.000000,18.6,0.014
29, 2011-03-01, 2011-03-04,3.0, 0.129070, 0.008640, 0.286680, -0.507780, 1.400000, 1.750000,1330.0, 25.400000, 26.700000, -1.000000, 0.000000, -246.000310, 0.000000,23.6,0.018
30, 2011-03-01, 2011-03-04,3.0, 0.087640, 0.006610, 0.218100, -0.373850, 0.910000, 1.060000,1335.0, 29.500000, 31.400000, -0.995980, 0.000000, 0.000000, -1.310820,28.6,0.022
31, 2011-03-01, 2011-03-04,3.0, 0.058060, 0.004800, 0.159720, -0.266850, 0.550000, 0.650000,1340.0, 34.000000, 35.900000, -0.995770, 0.000000, 0.000000, -1.311310,33.6,0.026
32, 2011-03-01, 2011-03-04,3.0, 0.038990, 0.003480, 0.115360, -0.187780, 0.350000, 0.390000,1345.0, 38.700000, 40.690000, -1.000000, 0.000000, -395.999780, 0.000000,38.6,0.03
33, 2011-03-01, 2011-03-04,3.0, 0.024340, 0.002400, 0.079420, -0.125430, 0.190000, 0.260000,1350.0, 43.610000, 45.900000, -1.000000, 0.000000, -445.999820, 0.000000,43.6,0.033
34, 2011-03-01, 2011-03-04,3.0, 0.018560, 0.001830, 0.064110, -0.103170, 0.140000, 0.200000,1355.0, 48.490000, 50.800000, -0.995570, 0.000000, 0.000000, -1.311560,48.6,0.037
35, 2011-03-01, 2011-03-04,3.0, 0.013570, 0.001360, 0.049070, -0.078570, 0.100000, 0.150000,1360.0, 53.510000, 55.700000, -0.995870, 0.000000, 0.000000, -1.311640,53.6,0.041
36, 2011-03-01, 2011-03-04,3.0, 0.011230, 0.001040, 0.039590, -0.065870, 0.050000, 0.150000,1365.0, 58.500000, 60.710000, -0.995480, 0.000000, 0.000000, -1.310840,58.6,0.045
37, 2011-03-01, 2011-03-04,3.0, 0.006290, 0.000580, 0.023340, -0.035170, 0.000000, 0.110000,1370.0, 63.500000, 65.400000, -0.995760, 0.000000, 0.000000, -1.311620,63.6,0.049
38, 2011-03-01, 2011-03-04,3.0, 0.002850, 0.000370, 0.013770, -0.019270, 0.000000, 0.050000,1375.0, 68.500000, 70.600000, -1.000000, 0.000000, -695.999820, 0.000000,68.6,0.053
39, 2011-03-01, 2011-03-04,3.0, 0.002910, 0.000260, 0.010670, -0.019570, 0.000000, 0.040000,1400.0, 93.600000, 95.600000, -0.996140, 0.000000, 0.000000, -1.310900,93.6,0.072
40, 2011-03-01, 2011-03-04,3.0, 0.002160, 0.000190, 0.008950, -0.020420, 0.000000, 0.050000,1425.0, 118.600000, 120.590000, -0.995540, 0.000000, 0.000000, -1.311000,118.6,0.091
41, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 1203.200000, 1205.710000,100.0, 0.000000, 0.060000, -0.000530, 0.000000, 0.000930, -0.009000,1206.4,0.923
42, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 1103.200000, 1105.690000,200.0, 0.000000, 0.040000, -0.000500, 0.000000, 0.001590, -0.009210,1106.4,0.847
43, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 1053.210000, 1055.800000,250.0, 0.000000, 0.050000, 0.000000, 0.000000, 0.001570, -0.009340,1056.4,0.809
44, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 1003.210000, 1005.790000,300.0, 0.000000, 0.050000, -0.000090, 0.000000, 0.001590, -0.008890,1006.4,0.77
45, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 978.200000, 980.800000,325.0, 0.000000, 0.050000, 0.000000, 0.000000, 0.002270, -0.008630,981.4,0.751
46, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 953.200000, 955.800000,350.0, 0.000000, 0.050000, -0.000640, 0.000000, 0.002110, -0.008790,956.4,0.732
47, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 903.200000, 905.800000,400.0, 0.000000, 0.060000, -0.000180, 0.000000, 0.002280, -0.008860,906.4,0.694
48, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 878.200000, 880.810000,425.0, 0.000000, 0.040000, 0.000000, 0.000000, 0.002330, -0.009410,881.4,0.675
49, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 853.200000, 855.800000,450.0, 0.000000, 0.050000, -0.000130, 0.000000, 0.002830, -0.009200,856.4,0.656
50, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 828.200000, 830.790000,475.0, 0.000000, 0.050000, -0.000180, 0.000000, 0.002630, -0.009400,831.4,0.636
51, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 803.200000, 805.790000,500.0, 0.000000, 0.040000, 0.000000, 0.000000, 0.002870, -0.009300,806.4,0.617
52, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 778.200000, 780.800000,525.0, 0.000000, 0.050000, -0.000070, 0.000000, 0.003220, -0.008540,781.4,0.598
53, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 753.200000, 755.810000,550.0, 0.000000, 0.040000, -0.000020, 0.000000, 0.002780, -0.008990,756.4,0.579
54, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 728.190000, 730.810000,575.0, 0.000000, 0.050000, -0.000210, 0.000000, 0.003160, -0.008600,731.4,0.56
55, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 703.310000, 705.810000,600.0, 0.000000, 0.050000, -0.000690, 0.000000, 0.003200, -0.008440,706.4,0.541
56, 2011-03-01, 2011-03-17,15.96, 1.000000, 0.000000, 0.000000, 0.000000, 678.310000, 680.800000,625.0, 0.000000, 0.040000, -0.000140, 0.000000, 0.002970, -0.008410,681.4,0.522
