, [QUOTE_DATE], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2013-03-01, 2013-03-01,0.0,0.9377,0.00795,0.00895,-0.15961,17.05,17.31,135.0,0.0,0.0,-0.00234,0.0012,0.00045,-0.00501,17.0,0.112
1, 2013-03-01, 2013-03-01,0.0,0.93745,0.00886,0.00926,-0.15973,16.05,16.31,136.0,0.0,0.02,-0.0044,0.00207,0.00152,-0.00917,16.0,0.105
2, 2013-03-01, 2013-03-01,0.0,0.93645,0.01007,0.00952,-0.16008,15.05,15.31,137.0,0.0,0.02,-0.00245,0.00153,0.00045,-0.00508,15.0,0.099
3, 2013-03-01, 2013-03-01,0.0,0.93502,0.01141,0.00952,-0.16022,14.05,14.31,138.0,0.0,0.01,-0.0028,0.00177,0.00105,-0.00467,14.0,0.092
4, 2013-03-01, 2013-03-01,0.0,0.93328,0.01293,0.00929,-0.15977,13.05,13.31,139.0,0.0,0.02,-0.00296,0.00196,0.00049,-0.00515,13.0,0.086
5, 2013-03-01, 2013-03-01,0.0,0.93139,0.01483,0.01033,-0.16007,12.04,12.31,140.0,0.0,0.01,-0.00371,0.00233,0.00113,-0.00504,12.0,0.079
6, 2013-03-01, 2013-03-01,0.0,0.92804,0.01706,0.01006,-0.16049,11.05,11.31,141.0,0.0,0.02,-0.00368,0.00263,0.00102,-0.00527,11.0,0.072
7, 2013-03-01, 2013-03-01,0.0,0.92553,0.01989,0.0108,-0.15966,10.05,10.31,142.0,0.0,0.01,-0.0043,0.0031,0.00063,-0.00461,10.0,0.066
8, 2013-03-01, 2013-03-01,0.0,0.92096,0.02327,0.01115,-0.15957,9.06,9.3,143.0,0.0,0.02,-0.00448,0.00371,0.00144,-0.00546,9.0,0.059
9, 2013-03-01, 2013-03-01,0.0,0.91488,0.02773,0.01176,-0.15986,8.05,8.31,144.0,0.0,0.01,-0.00516,0.00457,0.00158,-0.0045,8.0,0.053
10, 2013-03-01, 2013-03-01,0.0,0.90679,0.03346,0.01287,-0.16495,7.15,7.22,145.0,0.0,0.02,-0.0051,0.00574,0.00133,-0.00526,7.0,0.046
11, 2013-03-01, 2013-03-01,0.0,0.89752,0.04105,0.01371,-0.16545,6.15,6.22,146.0,0.0,0.01,-0.00671,0.00749,0.00136,-0.00498,6.0,0.04
12, 2013-03-01, 2013-03-01,0.0,0.88845,0.04587,0.01527,-0.17569,5.67,5.73,146.5,0.0,0.01,-0.00729,0.00865,0.00103,-0.00501,5.5,0.036
13, 2013-03-01, 2013-03-01,0.0,0.9146,0.05081,0.01163,-0.09002,4.99,5.22,147.0,0.0,0.01,-0.00744,0.01009,0.00194,-0.00476,5.0,0.033
14, 2013-03-01, 2013-03-01,0.0,0.87726,0.05862,0.01635,-0.16571,4.64,4.72,147.5,0.0,0.02,-0.00815,0.01208,0.00128,-0.00491,4.5,0.03
15, 2013-03-01, 2013-03-01,0.0,0.86883,0.06711,0.01651,-0.16486,4.14,4.22,148.0,0.0,0.01,-0.00873,0.01467,0.00212,-0.00477,4.0,0.026
16, 2013-03-01, 2013-03-01,0.0,0.85692,0.07796,0.01723,-0.1654,3.65,3.72,148.5,0.0,0.01,-0.00968,0.0183,0.00204,-0.00462,3.5,0.023
17, 2013-03-01, 2013-03-01,0.0,0.84402,0.092,0.01848,-0.1655,3.15,3.22,149.0,0.0,0.01,-0.01111,0.02359,0.00218,-0.00545,3.0,0.02
18, 2013-03-01, 2013-03-01,0.0,0.85334,0.11628,0.0182,-0.11028,2.54,2.72,149.5,0.0,0.01,-0.01347,0.03189,0.00292,-0.00547,2.5,0.017
19, 2013-03-01, 2013-03-01,0.0,0.7987,0.13513,0.02176,-0.18069,2.16,2.23,150.0,0.0,0.01,-0.01588,0.0461,0.00367,-0.00493,2.0,0.013
20, 2013-03-01, 2013-03-01,0.0,0.7725,0.17595,0.02294,-0.17021,1.66,1.72,150.5,0.0,0.01,-0.02028,0.07414,0.00389,-0.00468,1.5,0.01
21, 2013-03-01, 2013-03-01,0.0,0.73013,0.24396,0.02574,-0.16537,1.16,1.2,151.0,0.0,0.01,-0.02882,0.14623,0.00485,-0.00497,1.0,0.007
22, 2013-03-01, 2013-03-01,0.0,0.64834,0.36715,0.02811,-0.175,0.66,0.73,151.5,0.02,0.02,-0.1101,0.65716,0.01532,-0.01554,0.5,0.003
23, 2013-03-01, 2013-03-01,0.0,0.45149,0.76132,0.03013,-0.17468,0.19,0.19,152.0,0.04,0.06,-0.99861,0.0,0.0,-0.15023,0.0,0.0
24, 2013-03-01, 2013-03-01,0.0,0.03648,0.2369,0.00653,-0.00476,0.0,0.01,152.5,0.32,0.37,-1.0,0.0,0.0,0.0,0.5,0.003
25, 2013-03-01, 2013-03-01,0.0,0.02331,0.0973,0.00425,-0.00482,0.0,0.01,153.0,0.8,0.86,-1.0,0.0,0.0,0.0,1.0,0.006
26, 2013-03-01, 2013-03-01,0.0,0.01787,0.05643,0.00371,-0.00471,0.0,0.02,153.5,1.33,1.39,-1.0,0.0,0.0,0.0,1.5,0.01
