, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2010-11-01,118.56, 2010-11-05,4.0,0.98183,0.0083,0.00607,-0.01976,10.54,10.63,108.0,0.04,0.06,-0.02172,0.00933,0.00748,-0.02419,10.6,0.089
1, 2010-11-01,118.56, 2010-11-05,4.0,1.0,0.0,0.0,-0.00023,9.41,9.66,109.0,0.05,0.07,-0.03071,0.0128,0.00946,-0.03224,9.6,0.081
2, 2010-11-01,118.56, 2010-11-05,4.0,1.0,0.0,0.0,-6e-05,8.44,8.66,110.0,0.08,0.09,-0.04051,0.01684,0.01206,-0.03971,8.6,0.072
3, 2010-11-01,118.56, 2010-11-05,4.0,0.98765,0.0092,0.0042,-0.00895,7.43,7.7,111.0,0.1,0.12,-0.05155,0.02176,0.01506,-0.04641,7.6,0.064
4, 2010-11-01,118.56, 2010-11-05,4.0,0.9345,0.02816,0.01732,-0.05349,6.64,6.73,112.0,0.13,0.15,-0.06842,0.02877,0.01865,-0.05665,6.6,0.055
5, 2010-11-01,118.56, 2010-11-05,4.0,0.91223,0.03753,0.02248,-0.06455,5.7,5.76,113.0,0.18,0.19,-0.09134,0.03788,0.0232,-0.06769,5.6,0.047
6, 2010-11-01,118.56, 2010-11-05,4.0,0.87879,0.05005,0.02771,-0.07994,4.76,4.83,114.0,0.26,0.26,-0.12467,0.05019,0.02882,-0.08187,4.6,0.038
7, 2010-11-01,118.56, 2010-11-05,4.0,0.83628,0.06607,0.03411,-0.09275,3.86,3.9,115.0,0.36,0.36,-0.16995,0.06579,0.03505,-0.09744,3.6,0.03
8, 2010-11-01,118.56, 2010-11-05,4.0,0.76551,0.08449,0.04288,-0.11386,3.03,3.08,116.0,0.5,0.5,-0.23387,0.08445,0.04235,-0.1146,2.6,0.022
9, 2010-11-01,118.56, 2010-11-05,4.0,0.68136,0.10472,0.04969,-0.12654,2.23,2.29,117.0,0.71,0.73,-0.31898,0.10435,0.05001,-0.12743,1.6,0.013
10, 2010-11-01,118.56, 2010-11-05,4.0,0.57343,0.12179,0.05453,-0.13332,1.56,1.59,118.0,1.03,1.04,-0.42689,0.12126,0.05463,-0.13354,0.6,0.005
11, 2010-11-01,118.56, 2010-11-05,4.0,0.44611,0.12981,0.05522,-0.12689,0.98,1.02,119.0,1.45,1.47,-0.5532,0.12858,0.05507,-0.12758,0.4,0.004
12, 2010-11-01,118.56, 2010-11-05,4.0,0.31495,0.12179,0.04882,-0.10751,0.58,0.59,120.0,2.04,2.07,-0.6826,0.1201,0.04983,-0.10984,1.4,0.012
13, 2010-11-01,118.56, 2010-11-05,4.0,0.19909,0.09866,0.03878,-0.08004,0.31,0.32,121.0,2.73,2.79,-0.79926,0.09728,0.03913,-0.08009,2.4,0.021
14, 2010-11-01,118.56, 2010-11-05,4.0,0.11055,0.06851,0.02604,-0.05055,0.14,0.15,122.0,3.56,3.64,-0.87804,0.06607,0.02769,-0.05577,3.4,0.029
15, 2010-11-01,118.56, 2010-11-05,4.0,0.05677,0.04148,0.01618,-0.02818,0.06,0.07,123.0,4.49,4.58,-0.92315,0.03786,0.01976,-0.03925,4.4,0.037
16, 2010-11-01,118.56, 2010-11-05,4.0,0.03136,0.02499,0.01023,-0.01806,0.02,0.04,124.0,5.43,5.69,-0.9177,0.03261,0.02103,-0.05178,5.4,0.046
17, 2010-11-01,118.56, 2010-11-19,18.04,1.0,0.0,0.0,-6e-05,63.32,63.76,55.0,0.0,0.02,-0.00133,8e-05,0.00055,-0.0026,63.6,0.536
18, 2010-11-01,118.56, 2010-11-19,18.04,1.0,0.0,0.0,-0.00028,62.33,62.74,56.0,0.0,0.02,-0.00075,0.00014,0.00128,-0.0024,62.6,0.528
19, 2010-11-01,118.56, 2010-11-19,18.04,1.0,0.0,0.0,0.0,61.33,61.74,57.0,0.0,0.01,-0.00086,9e-05,0.00058,-0.00275,61.6,0.519
20, 2010-11-01,118.56, 2010-11-19,18.04,1.0,0.0,0.0,0.0,60.32,60.75,58.0,0.0,0.02,-0.00103,0.00015,0.00124,-0.00286,60.6,0.511
