, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-10-03,109.91, 2011-10-07,4.0,0.77613,0.0458,0.03668,-0.16163,6.44,6.62,104.0,0.65,0.7,-0.19273,0.04476,0.03558,-0.201,5.9,0.054
1, 2011-10-03,109.91, 2011-10-07,4.0,0.73354,0.04932,0.04009,-0.17913,5.63,5.81,105.0,0.83,0.86,-0.2376,0.05192,0.03973,-0.22967,4.9,0.045
2, 2011-10-03,109.91, 2011-10-07,4.0,0.68889,0.05295,0.04349,-0.19259,4.85,5.01,106.0,1.05,1.1,-0.28898,0.05937,0.04337,-0.25444,3.9,0.036
3, 2011-10-03,109.91, 2011-10-07,4.0,0.63835,0.05597,0.0465,-0.20493,4.15,4.25,107.0,1.33,1.35,-0.34911,0.06653,0.04767,-0.27794,2.9,0.026
4, 2011-10-03,109.91, 2011-10-07,4.0,0.58272,0.05801,0.04851,-0.21566,3.5,3.57,108.0,1.65,1.69,-0.417,0.07281,0.04956,-0.29705,1.9,0.017
5, 2011-10-03,109.91, 2011-10-07,4.0,0.52437,0.05992,0.05023,-0.21878,2.88,2.95,109.0,2.02,2.05,-0.49202,0.07829,0.05056,-0.30731,0.9,0.008
6, 2011-10-03,109.91, 2011-10-07,4.0,0.46376,0.06084,0.04966,-0.21361,2.31,2.34,110.0,2.46,2.5,-0.57575,0.0812,0.04974,-0.30848,0.1,0.001
7, 2011-10-03,109.91, 2011-10-07,4.0,0.40076,0.0601,0.04852,-0.20631,1.81,1.84,111.0,2.96,3.01,-0.66868,0.08138,0.04583,-0.2977,1.1,0.01
8, 2011-10-03,109.91, 2011-10-07,4.0,0.33663,0.05798,0.04684,-0.1907,1.38,1.41,112.0,3.5,3.59,-0.77283,0.07577,0.03797,-0.27287,2.1,0.019
9, 2011-10-03,109.91, 2011-10-07,4.0,0.27627,0.05417,0.04281,-0.17238,1.03,1.05,113.0,4.14,4.23,-0.90464,0.05333,0.02057,-0.22604,3.1,0.028
