, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-06-01,131.85, 2011-06-03,2.0,0.96181,0.00885,0.00838,-0.0056,8.77,8.94,123.0,0.01,0.02,-0.01578,0.00945,0.00499,-0.02021,8.8,0.067
1, 2011-06-01,131.85, 2011-06-03,2.0,0.95532,0.01554,0.01044,-0.02975,7.73,8.03,124.0,0.03,0.04,-0.02321,0.01346,0.00655,-0.02724,7.8,0.06
2, 2011-06-01,131.85, 2011-06-03,2.0,0.95294,0.02116,0.01091,-0.03471,6.73,7.04,125.0,0.03,0.05,-0.03027,0.01854,0.00794,-0.03339,6.8,0.052
3, 2011-06-01,131.85, 2011-06-03,2.0,1.0,0.0,0.0,0.0,5.68,5.97,126.0,0.07,0.06,-0.04433,0.02703,0.0116,-0.04555,5.8,0.044
4, 2011-06-01,131.85, 2011-06-03,2.0,0.91016,0.04663,0.01892,-0.0759,4.92,5.0,127.0,0.08,0.09,-0.06125,0.0383,0.0148,-0.05595,4.8,0.037
5, 2011-06-01,131.85, 2011-06-03,2.0,0.88224,0.06421,0.02336,-0.0867,3.96,4.03,128.0,0.11,0.13,-0.09149,0.05702,0.01946,-0.07414,3.8,0.029
6, 2011-06-01,131.85, 2011-06-03,2.0,0.83509,0.08947,0.02981,-0.10317,3.01,3.11,129.0,0.18,0.2,-0.14109,0.0854,0.02679,-0.09787,2.8,0.022
7, 2011-06-01,131.85, 2011-06-03,2.0,0.75143,0.1218,0.0378,-0.13097,2.15,2.23,130.0,0.3,0.33,-0.22613,0.12597,0.03607,-0.12935,1.8,0.014
8, 2011-06-01,131.85, 2011-06-03,2.0,0.63076,0.15966,0.04522,-0.14814,1.37,1.43,131.0,0.53,0.55,-0.35972,0.17246,0.04483,-0.15623,0.8,0.006
9, 2011-06-01,131.85, 2011-06-03,2.0,0.46111,0.18198,0.0478,-0.14676,0.76,0.77,132.0,0.89,0.93,-0.54566,0.20043,0.0473,-0.15996,0.2,0.001
10, 2011-06-01,131.85, 2011-06-03,2.0,0.27627,0.16375,0.03958,-0.11351,0.34,0.35,133.0,1.47,1.52,-0.75738,0.17826,0.03761,-0.1196,1.2,0.009
11, 2011-06-01,131.85, 2011-06-03,2.0,0.12898,0.1078,0.02541,-0.06343,0.12,0.12,134.0,2.26,2.31,-0.94275,0.08103,0.01314,-0.0523,2.2,0.016
12, 2011-06-01,131.85, 2011-06-03,2.0,0.05372,0.05524,0.01349,-0.02953,0.04,0.06,135.0,3.15,3.2,-0.99933,0.0,0.0,-0.0303,3.2,0.024
13, 2011-06-01,131.85, 2011-06-03,2.0,0.02948,0.03066,0.00825,-0.01832,0.01,0.03,136.0,4.11,4.17,-1.0,0.0,0.0,0.0,4.2,0.031
14, 2011-06-01,131.85, 2011-06-03,2.0,0.01716,0.0174,0.00556,-0.01171,0.02,0.02,137.0,5.01,5.23,-1.0,0.0,0.0,0.0,5.2,0.039
15, 2011-06-01,131.85, 2011-06-03,2.0,0.00678,0.00733,0.002,-0.0039,0.0,0.01,138.0,6.06,6.21,-1.0,0.0,0.0,0.0,6.2,0.047
16, 2011-06-01,131.85, 2011-06-03,2.0,0.00523,0.0058,0.00218,-0.0048,0.0,0.01,139.0,7.06,7.21,-1.0,0.0,0.0,0.0,7.2,0.054
17, 2011-06-01,131.85, 2011-06-03,2.0,0.00519,0.00477,0.00185,-0.00415,0.0,0.01,140.0,7.96,8.17,-1.0,0.0,0.0,0.0,8.2,0.062
18, 2011-06-01,131.85, 2011-06-03,2.0,0.00451,0.00396,0.00176,-0.0042,0.0,0.01,141.0,8.94,9.25,-1.0,0.0,0.0,0.0,9.2,0.069
19, 2011-06-01,131.85, 2011-06-03,2.0,0.00428,0.00339,0.00132,-0.00425,0.0,0.02,142.0,9.96,10.18,-1.0,0.0,0.0,0.0,10.2,0.077
20, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,111.48,112.22,20.0,0.0,0.01,-0.00057,4e-05,0.00023,-0.0021,111.8,0.848
21, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,106.49,107.22,25.0,0.0,0.0,-0.00032,2e-05,0.00032,-0.00117,106.8,0.81
22, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,101.49,102.21,30.0,0.0,0.01,-0.00039,6e-05,8e-05,-0.00159,101.8,0.772
23, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,96.48,97.22,35.0,0.0,0.01,-0.00028,1e-05,0.00064,-0.00151,96.8,0.735
24, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,91.49,92.22,40.0,0.0,0.01,-0.00076,6e-05,0.00069,-0.00179,91.8,0.697
25, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,86.48,87.21,45.0,0.0,0.01,-0.00043,3e-05,0.00064,-0.00125,86.8,0.659
26, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,81.48,82.22,50.0,0.0,0.01,-4e-05,7e-05,4e-05,-0.00147,81.8,0.621
27, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,76.47,77.22,55.0,0.0,0.0,-0.0002,6e-05,0.00055,-0.00176,76.8,0.583
28, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,71.48,72.22,60.0,0.0,0.01,-0.00025,8e-05,0.00078,-0.00182,71.8,0.545
29, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,70.49,71.23,61.0,0.0,0.01,-0.00054,2e-05,0.00087,-0.00122,70.8,0.537
30, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,69.48,70.21,62.0,0.0,0.01,-0.0004,4e-05,0.00089,-0.00208,69.8,0.53
31, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,68.49,69.22,63.0,0.0,0.01,-0.00084,6e-05,0.00063,-0.0016,68.8,0.522
32, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,67.48,68.22,64.0,0.0,0.01,-0.00062,3e-05,0.00021,-0.00134,67.8,0.515
33, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,66.48,67.22,65.0,0.0,0.0,-0.0005,7e-05,0.00081,-0.00113,66.8,0.507
34, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,65.49,66.22,66.0,0.0,0.01,-0.00043,5e-05,0.00048,-0.00157,65.8,0.499
35, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,64.48,65.22,67.0,0.0,0.01,-0.00088,0.00011,0.00032,-0.00114,64.8,0.492
36, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,63.47,64.22,68.0,0.0,0.01,-0.0009,4e-05,0.00099,-0.00138,63.8,0.484
37, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,62.48,63.22,69.0,0.0,0.01,-0.00076,6e-05,0.00014,-0.0019,62.8,0.477
38, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,61.48,62.22,70.0,0.0,0.01,-0.00019,4e-05,0.00068,-0.00129,61.8,0.469
39, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,60.48,61.22,71.0,0.0,0.01,-0.00116,0.0001,0.00018,-0.002,60.8,0.462
40, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,59.47,60.22,72.0,0.0,0.02,-0.0007,0.0001,0.00066,-0.0015,59.8,0.454
41, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,58.48,59.21,73.0,0.0,0.02,-0.00103,7e-05,0.00053,-0.00183,58.8,0.446
42, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,57.49,58.22,74.0,0.0,0.01,-0.0004,0.00011,0.00103,-0.00186,57.8,0.439
43, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,56.48,57.21,75.0,0.0,0.01,-0.00072,0.00015,0.00027,-0.00181,56.8,0.431
44, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,55.48,56.22,76.0,0.0,0.02,-0.00071,8e-05,0.00117,-0.00164,55.8,0.424
45, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,54.48,55.23,77.0,0.0,0.01,-0.00086,0.00016,0.00108,-0.00123,54.8,0.416
46, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,53.48,54.21,78.0,0.0,0.01,-0.00103,8e-05,0.00072,-0.00125,53.8,0.408
47, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,52.48,53.23,79.0,0.0,0.02,-0.00042,0.00015,0.00057,-0.00128,52.8,0.401
48, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,51.48,52.22,80.0,0.0,0.0,-0.0004,9e-05,0.0004,-0.00144,51.8,0.393
49, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,50.48,51.22,81.0,0.0,0.01,-0.0008,0.00016,0.00128,-0.00198,50.8,0.386
50, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,49.47,50.22,82.0,0.0,0.01,-0.00091,0.00013,0.00063,-0.0015,49.8,0.378
51, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,48.49,49.22,83.0,0.0,0.02,-0.00115,0.00018,0.00097,-0.00183,48.8,0.37
52, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,47.49,48.22,84.0,0.0,0.01,-0.00071,0.00016,0.00106,-0.00107,47.8,0.363
53, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,46.48,47.22,85.0,0.0,0.01,-0.00078,0.00018,0.00047,-0.00113,46.8,0.355
54, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,45.47,46.22,86.0,0.0,0.01,-0.00055,0.00017,0.00061,-0.00201,45.8,0.348
55, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,44.47,45.21,87.0,0.0,0.01,-0.00055,0.00016,0.00092,-0.0019,44.8,0.34
56, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,43.48,44.22,88.0,0.0,0.01,-0.00121,0.00016,0.00084,-0.00158,43.8,0.333
57, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,42.47,43.22,89.0,0.0,0.01,-0.00079,0.00019,0.00052,-0.00155,42.8,0.325
58, 2011-06-01,131.85, 2011-06-17,16.0,0.92469,0.00086,0.02902,-0.02453,41.67,42.08,90.0,0.0,0.01,-0.00151,0.00024,0.00059,-0.00158,41.8,0.317
59, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,40.48,41.22,91.0,0.0,0.01,-0.00086,0.00021,0.00138,-0.00136,40.8,0.31
60, 2011-06-01,131.85, 2011-06-17,16.0,0.92744,0.00098,0.02909,-0.00455,39.48,40.22,92.0,0.0,0.0,-0.00086,0.0002,0.00125,-0.00171,39.8,0.302
61, 2011-06-01,131.85, 2011-06-17,16.0,0.9297,0.00096,0.02796,-0.0048,38.5,39.22,93.0,0.0,0.02,-0.00136,0.00025,0.00124,-0.00198,38.8,0.295
62, 2011-06-01,131.85, 2011-06-17,16.0,0.93099,0.00104,0.02841,-0.00537,37.48,38.22,94.0,0.0,0.0,-0.00137,0.00022,0.00119,-0.00176,37.8,0.287
63, 2011-06-01,131.85, 2011-06-17,16.0,0.93277,0.00115,0.02732,-0.00528,36.48,37.21,95.0,0.0,0.01,-0.00166,0.00024,0.00149,-0.00173,36.8,0.279
64, 2011-06-01,131.85, 2011-06-17,16.0,0.93421,0.0012,0.02713,-0.00532,35.49,36.22,96.0,0.0,0.01,-0.00092,0.00032,0.00084,-0.00179,35.8,0.272
65, 2011-06-01,131.85, 2011-06-17,16.0,0.93558,0.00133,0.02724,-0.00475,34.49,35.22,97.0,0.0,0.01,-0.00104,0.00032,0.00136,-0.00119,34.8,0.264
66, 2011-06-01,131.85, 2011-06-17,16.0,0.9377,0.00151,0.02699,-0.00545,33.67,34.03,98.0,0.01,0.02,-0.00304,0.00068,0.00317,-0.00361,33.8,0.257
67, 2011-06-01,131.85, 2011-06-17,16.0,0.9393,0.00159,0.02588,-0.00526,32.49,33.22,99.0,0.02,0.02,-0.0034,0.00073,0.0034,-0.00436,32.8,0.249
68, 2011-06-01,131.85, 2011-06-17,16.0,1.0,0.0,0.0,0.0,31.69,32.01,100.0,0.01,0.02,-0.00323,0.00076,0.0034,-0.00367,31.8,0.242
69, 2011-06-01,131.85, 2011-06-17,16.0,0.94156,0.00189,0.02505,-0.00549,30.49,31.22,101.0,0.01,0.03,-0.00385,0.00081,0.00303,-0.00363,30.8,0.234
