, [QUOTE_DATE], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2012-06-01, 2012-06-01,0.0,0.93111,0.01477,0.0082,-0.16491,11.78,14.9,115.0,0.0,0.02,-0.00324,0.00195,0.00061,-0.00465,13.2,0.103
1, 2012-06-01, 2012-06-01,0.0,0.92158,0.01731,0.0095,-0.20047,10.85,13.9,116.0,0.0,0.01,-0.00328,0.00227,0.00086,-0.00519,12.2,0.095
2, 2012-06-01, 2012-06-01,0.0,0.91846,0.01973,0.01024,-0.19992,9.84,12.9,117.0,0.0,0.02,-0.00402,0.00256,0.00028,-0.00507,11.2,0.087
3, 2012-06-01, 2012-06-01,0.0,0.95615,0.01983,0.00549,-0.04476,10.04,10.38,118.0,0.0,0.01,-0.00367,0.00304,0.00111,-0.00515,10.2,0.079
4, 2012-06-01, 2012-06-01,0.0,0.95448,0.02382,0.00622,-0.04462,9.05,9.4,119.0,0.0,0.01,-0.00426,0.00366,0.00103,-0.00516,9.2,0.072
5, 2012-06-01, 2012-06-01,0.0,0.95118,0.02894,0.00643,-0.04506,8.04,8.38,120.0,0.0,0.02,-0.00527,0.00451,0.00111,-0.00518,8.2,0.064
6, 2012-06-01, 2012-06-01,0.0,0.94159,0.03595,0.00728,-0.05497,7.07,7.39,121.0,0.0,0.01,-0.00563,0.00572,0.00101,-0.00531,7.2,0.056
7, 2012-06-01, 2012-06-01,0.0,0.93463,0.04496,0.00782,-0.05458,6.06,6.39,122.0,0.0,0.01,-0.00649,0.00733,0.00131,-0.00487,6.2,0.048
8, 2012-06-01, 2012-06-01,0.0,0.92569,0.05762,0.00904,-0.05432,5.06,5.39,123.0,0.0,0.0,-0.00712,0.01003,0.00186,-0.00451,5.2,0.04
9, 2012-06-01, 2012-06-01,0.0,0.91248,0.07661,0.00994,-0.05498,4.2,4.25,124.0,0.0,0.01,-0.00867,0.01455,0.00141,-0.00523,4.2,0.033
10, 2012-06-01, 2012-06-01,0.0,0.89017,0.10669,0.0116,-0.0597,3.19,3.26,125.0,0.0,0.01,-0.01166,0.02337,0.0021,-0.00486,3.2,0.025
11, 2012-06-01, 2012-06-01,0.0,0.85931,0.16351,0.0137,-0.06088,2.21,2.25,126.0,0.0,0.01,-0.01562,0.04552,0.0029,-0.00522,2.2,0.017
12, 2012-06-01, 2012-06-01,0.0,0.80365,0.30566,0.01583,-0.0599,1.2,1.26,127.0,0.0,0.01,-0.0281,0.14343,0.00474,-0.00458,1.2,0.009
13, 2012-06-01, 2012-06-01,0.0,0.53704,0.70232,0.02372,-0.135,0.26,0.33,128.0,0.08,0.08,-0.99776,0.0,0.0,-0.14079,0.2,0.001
14, 2012-06-01, 2012-06-01,0.0,0.02387,0.10688,0.00359,-0.00492,0.0,0.0,129.0,0.76,0.82,-1.0,0.0,0.0,0.0,0.8,0.006
15, 2012-06-01, 2012-06-01,0.0,0.01467,0.03861,0.00213,-0.00507,0.0,0.01,130.0,1.74,1.8,-1.0,0.0,0.0,0.0,1.8,0.014
16, 2012-06-01, 2012-06-01,0.0,0.01124,0.02128,0.00166,-0.00483,0.0,0.01,131.0,2.75,2.79,-1.0,0.0,0.0,0.0,2.8,0.022
17, 2012-06-01, 2012-06-01,0.0,0.00865,0.01382,0.00186,-0.00453,0.0,0.01,132.0,3.75,3.81,-1.0,0.0,0.0,0.0,3.8,0.03
18, 2012-06-01, 2012-06-01,0.0,0.00751,0.00992,0.00168,-0.00455,0.0,0.01,133.0,4.75,4.79,-1.0,0.0,0.0,0.0,4.8,0.038
19, 2012-06-01, 2012-06-01,0.0,0.00641,0.00752,0.00087,-0.00465,0.0,0.0,134.0,5.75,5.8,-1.0,0.0,0.0,0.0,5.8,0.045
20, 2012-06-01, 2012-06-01,0.0,0.00595,0.00599,0.00089,-0.00522,0.0,0.01,135.0,6.72,6.84,-1.0,0.0,0.0,0.0,6.8,0.053
21, 2012-06-01, 2012-06-01,0.0,0.00535,0.00482,0.00055,-0.00543,0.0,0.01,136.0,7.61,7.84,-1.0,0.0,0.0,0.0,7.8,0.061
22, 2012-06-01, 2012-06-01,0.0,0.00509,0.00408,0.00082,-0.0047,0.0,0.01,137.0,8.62,8.94,-1.0,0.0,0.0,0.0,8.8,0.069
23, 2012-06-01, 2012-06-01,0.0,0.00458,0.00341,0.00041,-0.00516,0.0,0.02,138.0,9.63,9.94,-1.0,0.0,0.0,0.0,9.8,0.077
24, 2012-06-01, 2012-06-01,0.0,0.00431,0.00293,0.00087,-0.0048,0.0,0.01,139.0,10.63,10.94,-1.0,0.0,0.0,0.0,10.8,0.085
25, 2012-06-01, 2012-06-01,0.0,0.00394,0.00258,0.00069,-0.00502,0.0,0.01,140.0,11.63,11.94,-1.0,0.0,0.0,0.0,11.8,0.092
26, 2012-06-01, 2012-06-01,0.0,0.00345,0.00233,0.00036,-0.00534,0.0,0.0,141.0,11.13,14.16,-1.0,0.0,0.0,0.0,12.8,0.1
27, 2012-06-01, 2012-06-08,7.0,0.86513,0.03372,0.04089,-0.07771,7.44,7.64,121.0,0.23,0.24,-0.09186,0.02994,0.0315,-0.05688,7.2,0.056
28, 2012-06-01, 2012-06-08,7.0,0.84985,0.04013,0.04362,-0.07681,6.38,6.72,122.0,0.3,0.33,-0.1185,0.03756,0.03754,-0.06762,6.2,0.048
